200.0    0.0000
210.0    1.0810
220.0    3.1196
230.0    6.4212
240.0    10.4983
250.0    14.3031
260.0    17.9612
270.0    20.6541
280.0    22.1570
290.0    25.5633
300.0    25.3696
310.0    25.2293
320.0    25.1988
330.0    24.9773
340.0    24.8055
350.0    24.4088
360.0    24.1165
370.0    23.3368
380.0    22.4608
390.0    21.8726
400.0    20.4717
410.0    18.9725
420.0    17.5489
430.0    15.8493
440.0    14.1541
450.0    12.5689
460.0    11.1047
470.0    9.7609
480.0    8.4922
490.0    7.3264
500.0    6.2243
510.0    5.0602
520.0    3.5248
530.0    2.3012
540.0    1.5403
550.0    1.0813
560.0    0.6823
570.0    0.4553
580.0    0.2524
590.0    0.1227
600.0    0.0583
