 440  1.501682
 450  1.500186
 460  1.499126
 470  1.498324
 480  1.497664
 490  1.497075
 500  1.496515
 510  1.495957
 520  1.495392
 530  1.494814
 540  1.494225
 550  1.493629
 560  1.493029
 570  1.492431
 580  1.491841
 590  1.491262
 600  1.490700
 610  1.490157
 620  1.489636
 630  1.489139
 640  1.488667
 650  1.488222
 660  1.487804
 670  1.487412
 680  1.487046
 690  1.486706
 700  1.486390
 710  1.486098
 720  1.485828
 730  1.485579
 740  1.485350
 750  1.485139
 760  1.484945
 770  1.484766
 780  1.484600
 790  1.484448
 800  1.484306
 810  1.484174
 820  1.484050
 830  1.483934
 840  1.483823
 850  1.483717
 860  1.483615
 870  1.483516
 880  1.483418
 890  1.483322
 900  1.483225
 910  1.483128
 920  1.483028
 930  1.482927
 940  1.482823
 950  1.482715
 960  1.482603
 970  1.482486
 980  1.482365
 990  1.482237
1000  1.482104
