300 7.1
330 7.9
340 6.1
350 6.3
360 8.1
370 7.1
390 11.2
400 12
420 11.6
470 12
500 15.2
510 17
550 18.5
570 19.8
610 30.5
640 32.5
720 32.5
750 29.4
800 23

